#Total cluster, Fake cluster, Percentage fake, Real roads, Extracted roads, Exceeded roads, Found roads, Percentage success, Percentage accumulator density
1536,768,0.5,48,148,100,42,0.88,0.31
1919,1151,0.6,48,948,900,59,0.90,0.41
2559,1791,0.7,48,8168,8120,263,0.92,0.55
3840,3072,0.8,48,56356,56308,2116,0.94,0.70
7680,6912,0.9,48,271523,271475,11143,1.00,0.87
784,0,0,49,50,1,45,0.92,0.08
871,87,0.1,49,50,1,45,0.92,0.09
980,196,0.2,49,52,3,45,0.92,0.12
1120,336,0.3,49,55,6,46,0.94,0.16
1306,522,0.4,49,64,15,46,0.94,0.23
1568,784,0.5,49,169,120,50,0.96,0.31
1959,1175,0.6,49,1234,1185,73,0.96,0.42
2613,1829,0.7,49,10106,10057,314,0.98,0.56
3920,3136,0.8,49,60008,59959,2284,1.00,0.71
7840,7056,0.9,49,271777,271728,11357,1.00,0.87
800,0,0,50,55,5,47,0.94,0.08
888,88,0.1,50,55,5,47,0.94,0.09
1000,200,0.2,50,56,6,47,0.94,0.12
1142,342,0.3,50,59,9,47,0.94,0.16
1333,533,0.4,50,79,29,49,0.98,0.23
1600,800,0.5,50,203,153,50,0.98,0.32
2000,1200,0.6,50,1420,1370,82,0.98,0.43
2666,1866,0.7,50,10844,10794,356,0.98,0.56
4000,3200,0.8,50,65408,65358,2519,0.98,0.71
8000,7200,0.9,50,285665,285615,11870,1.00,0.87
